year,geo_name,geo,income
2014,Adjuntas Municipio,05000US72001,10550
2014,Lares Municipio,05000US72081,11929
2014,Ciales Municipio,05000US72039,12565
2014,Lajas Municipio,05000US72079,13422
2014,Guíçnica Municipio,05000US72055,13635
2014,Comerí_o Municipio,05000US72045,13680
2014,Salinas Municipio,05000US72123,13871
2014,Maricao Municipio,05000US72093,14149
2014,Patillas Municipio,05000US72109,14343
2014,Orocovis Municipio,05000US72107,14549
2014,San Sebastiíçn Municipio,05000US72131,14726
2014,Las Marí_as Municipio,05000US72083,14928
2014,Sabana Grande Municipio,05000US72121,15054
2014,Aguas Buenas Municipio,05000US72007,15081
2014,San Germíçn Municipio,05000US72125,15091
2014,Barranquitas Municipio,05000US72019,15109
2014,Barceloneta Municipio,05000US72017,15228
2014,Quebradillas Municipio,05000US72115,15277
2014,Utuado Municipio,05000US72141,15291
2014,Moca Municipio,05000US72099,15301
2014,Yauco Municipio,05000US72153,15346
2014,Mayagí_ez Municipio,05000US72097,15402
2014,Guayanilla Municipio,05000US72059,15483
2014,Peí±uelas Municipio,05000US72111,15506
2014,Isabela Municipio,05000US72071,15740
2014,Arroyo Municipio,05000US72015,15863
2014,Florida Municipio,05000US72054,15992
2014,Morovis Municipio,05000US72101,16086
2014,Jayuya Municipio,05000US72073,16111
2014,Santa Isabel Municipio,05000US72133,16344
2014,Aguada Municipio,05000US72003,16376
2014,Vega Baja Municipio,05000US72145,16625
2014,Yabucoa Municipio,05000US72151,16627
2014,Rincí_n Municipio,05000US72117,16704
2014,Guayama Municipio,05000US72057,16765
2014,Aguadilla Municipio,05000US72005,16767
2014,"Ponce Municipio, PR",05000US72113,16807
2014,Cabo Rojo Municipio,05000US72023,16880
2014,Aibonito Municipio,05000US72009,16962
2014,Arecibo Municipio,05000US72013,16997
2014,Corozal Municipio,05000US72047,17020
2014,San Lorenzo Municipio,05000US72129,17116
2014,Aí±asco Municipio,05000US72011,17147
2014,Villalba Municipio,05000US72149,17389
2014,Naranjito Municipio,05000US72105,17478
2014,Maunabo Municipio,05000US72095,17866
2014,Coamo Municipio,05000US72043,17938
2014,Vega Alta Municipio,05000US72143,17944
2014,Culebra Municipio,05000US72049,18167
2014,Vieques Municipio,05000US72147,18179
2014,Luquillo Municipio,05000US72089,18256
2014,Naguabo Municipio,05000US72103,18295
2014,Loí_za Municipio,05000US72087,18456
2014,Cataí±o Municipio,05000US72033,18625
2014,Juana Dí_az Municipio,05000US72075,18758
2014,Manatí_ Municipio,05000US72091,18796
2014,Hatillo Municipio,05000US72065,19130
2014,Owsley County,05000US21189,19146
2014,Juncos Municipio,05000US72077,19288
2014,Camuy Municipio,05000US72027,19490
2014,Las Piedras Municipio,05000US72085,19929
2014,McCreary County,05000US21147,20000
2014,Humacao Municipio,05000US72069,20251
2014,Ceiba Municipio,05000US72037,20339
2014,Caní_vanas Municipio,05000US72029,20494
2014,Fajardo Municipio,05000US72053,20531
2014,Cayey Municipio,05000US72035,21058
2014,Wolfe County,05000US21237,21198
2014,Clay County,05000US13061,21300
2014,Hormigueros Municipio,05000US72067,21323
2014,Holmes County,05000US28051,21399
2014,Stewart County,05000US13259,21880
2014,Greene County,05000US01063,22170
2014,Brooks County,05000US48047,22176
2014,"San Juan Municipio, PR",05000US72127,22266
2014,Rí_o Grande Municipio,05000US72119,22372
2014,Clay County,05000US21051,22626
2014,Sumter County,05000US01119,22865
2014,Hudspeth County,05000US48229,23350
2014,Wilcox County,05000US01131,23406
2014,Cidra Municipio,05000US72041,23452
2014,Jefferson County,05000US28063,23480
2014,McDowell County,05000US54047,23607
2014,Toa Baja Municipio,05000US72137,23642
2014,Claiborne County,05000US28021,23917
2014,Lee County,05000US21129,23968
2014,Madison Parish,05000US22065,24028
2014,"Caguas Municipio, PR",05000US72025,24083
2014,Quitman County,05000US28119,24212
2014,Humphreys County,05000US28053,24387
2014,Mora County,05000US35033,24425
2014,Conecuh County,05000US01035,24433
2014,Leflore County,05000US28083,24475
2014,Hancock County,05000US13141,24552
2014,"Bayamí_n Municipio, PR",05000US72021,24597
2014,Taliaferro County,05000US13265,24783
2014,East Carroll Parish,05000US22035,24947
2014,Bell County,05000US21013,24976
2014,Harlan County,05000US21095,25186
2014,Allendale County,05000US45005,25495
2014,Alexander County,05000US17003,25495
2014,Knox County,05000US21121,25523
2014,Perry County,05000US01105,25528
2014,Lowndes County,05000US01085,25678
2014,Starr County,05000US48427,25906
2014,Breathitt County,05000US21025,26094
2014,Tensas Parish,05000US22107,26178
2014,Noxubee County,05000US28103,26231
2014,Calhoun County,05000US13037,26309
2014,Shannon County,05000US46113,26383
2014,Dallas County,05000US01047,26494
2014,Hancock County,05000US47067,26528
2014,Jefferson County,05000US13163,26796
2014,Hampshire County,05000US54027,26828
2014,Randolph County,05000US13243,26837
2014,Grundy County,05000US47061,26856
2014,Lee County,05000US05077,26986
2014,Jefferson Davis County,05000US28065,27063
2014,Woodruff County,05000US05147,27165
2014,Phillips County,05000US05107,27183
2014,Jackson County,05000US21109,27224
2014,Zavala County,05000US48507,27253
2014,Clinton County,05000US21053,27285
2014,Williamsburg County,05000US45089,27485
2014,Yazoo County,05000US28163,27489
2014,Monroe County,05000US05095,27571
2014,Willacy County,05000US48489,27627
2014,Wheeler County,05000US13309,27629
2014,Lewis County,05000US21135,27707
2014,Coahoma County,05000US28027,27735
2014,Martinsville city,05000US51690,27746
2014,Telfair County,05000US13271,27760
2014,Gurabo Municipio,05000US72063,27909
2014,Dorado Municipio,05000US72051,27924
2014,Sunflower County,05000US28133,27941
2014,Magoffin County,05000US21153,27947
2014,Guadalupe County,05000US35019,27957
2014,Martin County,05000US21159,28040
2014,Chicot County,05000US05017,28086
2014,Dooly County,05000US13093,28251
2014,San Miguel County,05000US35047,28292
2014,Morehouse Parish,05000US22067,28304
2014,Elliott County,05000US21063,28363
2014,Adams County,05000US28001,28435
2014,Mississippi County,05000US29133,28436
2014,Desha County,05000US05041,28457
2014,Luna County,05000US35029,28489
2014,"Carolina Municipio, PR",05000US72031,28660
2014,Marlboro County,05000US45069,28765
2014,Dillon County,05000US45033,28847
2014,Sierra County,05000US35051,28855
2014,Lake County,05000US26085,28872
2014,Grayson County,05000US51077,28892
2014,Webster County,05000US54101,28907
2014,Jenkins County,05000US13165,28910
2014,Warren County,05000US13301,28929
2014,Washington County,05000US28151,28936
2014,Marion County,05000US28091,29010
2014,Quay County,05000US35037,29042
2014,Clinch County,05000US13065,29125
2014,Benton County,05000US28009,29132
2014,Powell County,05000US21197,29141
2014,Leslie County,05000US21131,29156
2014,Toa Alta Municipio,05000US72135,29183
2014,Lake County,05000US47095,29214
2014,Wayne County,05000US28153,29254
2014,Bolivar County,05000US28011,29255
2014,San Augustine County,05000US48405,29293
2014,Wayne County,05000US21231,29295
2014,Macon County,05000US13193,29295
2014,Oregon County,05000US29149,29385
2014,Bertie County,05000US37015,29388
2014,Bladen County,05000US37017,29532
2014,Amite County,05000US28005,29580
2014,Issaquena County,05000US28055,29583
2014,Buchanan County,05000US51027,29678
2014,Morgan County,05000US21175,29730
2014,Turner County,05000US13287,29763
2014,Fentress County,05000US47049,29784
2014,McKinley County,05000US35031,29812
2014,Clay County,05000US47027,29812
2014,Concordia Parish,05000US22029,29824
2014,Pickens County,05000US01107,29839
2014,Cedar County,05000US29039,29872
2014,Marion County,05000US45067,29884
