year,geo_name,geo,income,income_ranking
2014,Sunflower County,05000US28133,27941,3086
2014,Magoffin County,05000US21153,27947,3085
2014,Guadalupe County,05000US35019,27957,3084
2014,Martin County,05000US21159,28040,3083
2014,Chicot County,05000US05017,28086,3082
2014,Dooly County,05000US13093,28251,3081
2014,San Miguel County,05000US35047,28292,3080
2014,Morehouse Parish,05000US22067,28304,3079
2014,Elliott County,05000US21063,28363,3078
2014,Adams County,05000US28001,28435,3077
2014,Mississippi County,05000US29133,28436,3076
2014,Desha County,05000US05041,28457,3075
2014,Luna County,05000US35029,28489,3074
2014,"Carolina Municipio, PR",05000US72031,28660,3073
2014,Marlboro County,05000US45069,28765,3072
2014,Dillon County,05000US45033,28847,3071
2014,Sierra County,05000US35051,28855,3070
2014,Lake County,05000US26085,28872,3069
2014,Grayson County,05000US51077,28892,3068
2014,Webster County,05000US54101,28907,3067
2014,Jenkins County,05000US13165,28910,3066
2014,Warren County,05000US13301,28929,3065
2014,Washington County,05000US28151,28936,3064
2014,Marion County,05000US28091,29010,3063
2014,Quay County,05000US35037,29042,3062
2014,Clinch County,05000US13065,29125,3061
2014,Benton County,05000US28009,29132,3060
2014,Powell County,05000US21197,29141,3059
2014,Leslie County,05000US21131,29156,3058
2014,Toa Alta Municipio,05000US72135,29183,3057
2014,Lake County,05000US47095,29214,3056
2014,Wayne County,05000US28153,29254,3055
2014,Bolivar County,05000US28011,29255,3054
2014,San Augustine County,05000US48405,29293,3053
2014,Wayne County,05000US21231,29295,3051
2014,Macon County,05000US13193,29295,3051
2014,Oregon County,05000US29149,29385,3050
2014,Bertie County,05000US37015,29388,3049
2014,Bladen County,05000US37017,29532,3048
2014,Amite County,05000US28005,29580,3047
2014,Issaquena County,05000US28055,29583,3046
2014,Buchanan County,05000US51027,29678,3045
2014,Morgan County,05000US21175,29730,3044
2014,Turner County,05000US13287,29763,3043
2014,Fentress County,05000US47049,29784,3042
2014,McKinley County,05000US35031,29812,3040
2014,Clay County,05000US47027,29812,3040
2014,Concordia Parish,05000US22029,29824,3039
2014,Pickens County,05000US01107,29839,3038
2014,Cedar County,05000US29039,29872,3037
2014,Marion County,05000US45067,29884,3036
2014,Calhoun County,05000US28013,29893,3035
2014,Estill County,05000US21065,29905,3034
2014,Stone County,05000US05137,29982,3033
2014,Wright County,05000US29229,30029,3032
2014,Casey County,05000US21045,30051,3031
2014,Roane County,05000US54087,30104,3030
2014,Floyd County,05000US21071,30190,3029
2014,Kemper County,05000US28069,30206,3027
2014,Scott County,05000US47151,30206,3027
2014,Emporia city,05000US51595,30240,3026
2014,Macon County,05000US01087,30254,3025
2014,Hardeman County,05000US47069,30260,3024
2014,Choctaw County,05000US40023,30282,3023
2014,Radford city,05000US51750,30284,3022
2014,Taylor County,05000US13269,30288,3021
2014,Menifee County,05000US21165,30313,3019
2014,Quitman County,05000US13239,30313,3019
2014,Evangeline Parish,05000US22039,30323,3018
2014,Monroe County,05000US21171,30378,3017
2014,Atkinson County,05000US13003,30403,3016
2014,Galax city,05000US51640,30430,3015
2014,Metcalfe County,05000US21169,30453,3014
2014,Robertson County,05000US21201,30479,3013
2014,Candler County,05000US13043,30518,3012
2014,Todd County,05000US46121,30539,3011
2014,Monroe County,05000US01099,30569,3010
2014,"Robeson County, NC",05000US37155,30581,3009
2014,Franklin Parish,05000US22041,30607,3008
2014,Ben Hill County,05000US13017,30643,3007
2014,Trujillo Alto Municipio,05000US72139,30687,3006
2014,Sharkey County,05000US28125,30688,3005
2014,Mineral County,05000US54057,30713,3004
2014,Wilkes County,05000US13317,30729,3003
2014,Zapata County,05000US48505,30758,3002
2014,Choctaw County,05000US28019,30768,3001
2014,Russell County,05000US21207,30773,3000
2014,Cumberland County,05000US21057,30813,2999
2014,Sharp County,05000US05135,30826,2998
2014,Scotland County,05000US37165,30834,2997
2014,Hale County,05000US01065,30839,2996
2014,Pemiscot County,05000US29155,30840,2995
2014,Douglas County,05000US29067,30879,2994
2014,Cocke County,05000US47029,30888,2993
2014,Lee County,05000US45061,30939,2992
2014,Clarke County,05000US01025,30951,2991
2014,Presidio County,05000US48377,30983,2990
2014,Montgomery County,05000US28097,30993,2989
2014,Calhoun County,05000US54013,31017,2988
2014,Van Buren County,05000US05141,31030,2987
2014,Decatur County,05000US13087,31090,2986
2014,Mitchell County,05000US13205,31101,2985
2014,Lauderdale County,05000US47097,31185,2984
2014,Lafayette County,05000US05073,31215,2983
2014,Izard County,05000US05065,31219,2982
2014,Wayne County,05000US47181,31225,2981
2014,Lee County,05000US51105,31264,2980
2014,Harmon County,05000US40057,31285,2978
2014,Twiggs County,05000US13289,31285,2978
2014,Toombs County,05000US13279,31291,2977
2014,Chickasaw County,05000US28017,31301,2976
2014,St. Francis County,05000US05123,31336,2975
2014,Red River County,05000US48387,31344,2974
2014,Alamosa County,05000US08003,31400,2973
2014,Tunica County,05000US28143,31406,2972
2014,Escambia County,05000US01053,31422,2971
2014,Dougherty County,05000US13095,31458,2970
2014,Northampton County,05000US37131,31468,2969
2014,Ripley County,05000US29181,31473,2968
2014,Clarke County,05000US28023,31478,2967
2014,Harding County,05000US35021,31500,2966
2014,Jackson County,05000US05067,31512,2965
2014,Esmeralda County,05000US32009,31528,2964
2014,Crowley County,05000US08025,31534,2963
2014,Rockcastle County,05000US21203,31536,2962
2014,Butler County,05000US01013,31571,2961
2014,Nevada County,05000US05099,31614,2960
2014,Knott County,05000US21119,31624,2959
2014,Letcher County,05000US21133,31630,2958
2014,Grady County,05000US13131,31653,2957
2014,Sanders County,05000US30089,31665,2956
2014,Attala County,05000US28007,31671,2955
2014,Brooks County,05000US13027,31686,2954
2014,Chesterfield County,05000US45025,31692,2953
2014,Johnson County,05000US47091,31711,2952
2014,Washington Parish,05000US22117,31750,2950
2014,Perry County,05000US47135,31750,2950
2014,Buffalo County,05000US46017,31758,2948
2014,Baldwin County,05000US13009,31758,2948
2014,Dunklin County,05000US29069,31777,2947
2014,Webster County,05000US13307,31809,2946
2014,Berrien County,05000US13019,31812,2945
2014,Ozark County,05000US29153,31833,2944
2014,West Carroll Parish,05000US22123,31843,2943
2014,Tallahatchie County,05000US28135,31860,2942
2014,St. Clair County,05000US29185,31875,2941
2014,Hickory County,05000US29085,31897,2940
